name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"y_rep[228]",1.6,0.059,0.80,0.29,1.6,2.9,186,59,1.0
"y_rep[229]",0.89,0.015,0.80,-0.43,0.89,2.2,2897,920,1.0
"y_rep[230]",1.6,0.095,0.81,0.27,1.6,2.9,73,23,1.0
"y_rep[231]",1.6,0.070,0.82,0.18,1.6,2.9,136,43,1.0
"y_rep[232]",1.6,0.069,0.82,0.21,1.5,2.9,141,45,1.0
"y_rep[233]",1.6,0.080,0.79,0.26,1.6,2.8,96,31,1.0
"y_rep[234]",1.1,0.041,0.81,-0.23,1.1,2.4,391,124,1.0
"y_rep[235]",1.1,0.073,0.82,-0.30,1.1,2.4,126,40,1.0
"y_rep[236]",1.1,0.079,0.80,-0.25,1.1,2.4,103,33,1.0
"y_rep[237]",0.42,0.093,0.81,-0.87,0.41,1.8,75,24,1.0
"y_rep[238]",1.1,0.053,0.81,-0.24,1.1,2.4,229,73,1.0
"y_rep[239]",1.1,0.048,0.81,-0.26,1.1,2.4,285,91,1.0
"y_rep[240]",0.73,0.012,0.82,-0.61,0.73,2.1,4382,1391,1.0
"y_rep[241]",1.4,0.014,0.82,0.077,1.4,2.8,3674,1166,1.0
"y_rep[242]",1.7,0.17,0.82,0.33,1.7,3.0,24,7.6,1.1
"y_rep[243]",1.7,0.18,0.83,0.37,1.7,3.1,20,6.4,1.1
"y_rep[244]",1.7,0.16,0.83,0.35,1.8,3.1,28,8.9,1.0
"y_rep[245]",1.7,0.18,0.84,0.31,1.7,3.1,21,6.8,1.1
"y_rep[246]",1.7,0.15,0.84,0.31,1.7,3.1,30,9.7,1.0
"y_rep[247]",1.8,0.16,0.84,0.37,1.8,3.1,26,8.3,1.0
"y_rep[248]",1.7,0.15,0.82,0.35,1.7,3.0,30,9.5,1.0
"y_rep[249]",1.1,0.14,0.83,-0.30,1.1,2.4,36,11,1.0
"y_rep[250]",1.1,0.15,0.81,-0.30,1.1,2.4,28,8.9,1.0
"y_rep[251]",1.7,0.15,0.83,0.32,1.7,3.0,32,10,1.0
"y_rep[252]",1.0,0.088,0.81,-0.33,1.0,2.3,86,27,1.0
"y_rep[253]",1.7,0.15,0.81,0.39,1.7,3.0,30,9.5,1.0
"y_rep[254]",1.0,0.13,0.82,-0.33,1.0,2.4,38,12,1.0
"y_rep[255]",1.7,0.14,0.81,0.35,1.7,3.0,33,11,1.0
"y_rep[256]",1.7,0.15,0.82,0.35,1.7,3.0,28,8.8,1.0
"y_rep[257]",1.7,0.15,0.81,0.32,1.7,3.0,30,9.6,1.0
"y_rep[258]",1.7,0.13,0.80,0.39,1.7,3.0,36,11,1.0
"y_rep[259]",1.7,0.14,0.83,0.33,1.7,3.0,34,11,1.0
"y_rep[260]",1.7,0.12,0.82,0.37,1.7,3.1,45,14,1.0
"y_rep[261]",1.7,0.14,0.82,0.32,1.7,3.0,37,12,1.0
"y_rep[262]",1.7,0.14,0.81,0.35,1.7,3.0,33,11,1.0
"y_rep[263]",1.7,0.14,0.81,0.36,1.7,3.0,36,11,1.0
"y_rep[264]",1.7,0.13,0.80,0.35,1.7,3.0,37,12,1.0
"y_rep[265]",1.3,0.012,0.79,0.031,1.3,2.6,4001,1270,1.0
"y_rep[266]",1.4,0.013,0.79,0.089,1.4,2.6,3653,1160,1.0
"y_rep[267]",0.68,0.012,0.77,-0.57,0.68,2.0,4064,1290,1.0
"y_rep[268]",1.4,0.012,0.78,0.072,1.3,2.7,4027,1278,1.0
"y_rep[269]",1.4,0.012,0.76,0.12,1.4,2.6,3962,1258,1.00
"y_rep[270]",1.4,0.012,0.77,0.091,1.4,2.6,4057,1288,1.0
"y_rep[271]",1.3,0.013,0.78,0.087,1.3,2.6,3826,1215,1.0
"y_rep[272]",1.4,0.012,0.78,0.058,1.4,2.6,4404,1398,1.0
"y_rep[273]",1.4,0.013,0.77,0.11,1.4,2.7,3789,1203,1.0
"y_rep[274]",1.4,0.012,0.77,0.087,1.4,2.6,3998,1269,1.00
"y_rep[275]",1.3,0.012,0.77,0.093,1.3,2.6,3869,1228,1.00
"y_rep[276]",1.4,0.012,0.78,0.088,1.3,2.7,4087,1297,1.0
"y_rep[277]",1.3,0.012,0.77,0.069,1.3,2.6,4089,1298,1.00
"y_rep[278]",1.4,0.013,0.77,0.088,1.3,2.6,3807,1209,1.00
"y_rep[279]",0.66,0.012,0.77,-0.63,0.66,1.9,4164,1322,1.0
"y_rep[280]",1.4,0.012,0.76,0.15,1.4,2.6,4131,1311,1.00
"y_rep[281]",1.4,0.012,0.78,0.065,1.4,2.7,4140,1314,1.0
"y_rep[282]",1.3,0.012,0.79,0.0094,1.3,2.6,3999,1269,1.0
"y_rep[283]",1.4,0.012,0.76,0.098,1.4,2.6,3750,1191,1.0
"y_rep[284]",1.3,0.012,0.77,0.071,1.3,2.6,3923,1245,1.0
"y_rep[285]",1.4,0.013,0.76,0.077,1.4,2.6,3455,1097,1.0
"y_rep[286]",1.3,0.012,0.77,0.094,1.3,2.6,4127,1310,1.00
"y_rep[287]",1.4,0.013,0.77,0.090,1.4,2.6,3696,1173,1.0
"y_rep[288]",1.4,0.012,0.77,0.085,1.4,2.6,3886,1234,1.00
"y_rep[289]",1.4,0.012,0.77,0.062,1.4,2.6,4169,1323,1.0
"y_rep[290]",1.4,0.012,0.77,0.11,1.4,2.6,3828,1215,1.0
"y_rep[291]",0.70,0.012,0.77,-0.58,0.69,2.0,4091,1299,1.0
"y_rep[292]",1.3,0.013,0.78,0.089,1.3,2.7,3771,1197,1.00
"y_rep[293]",1.3,0.012,0.79,0.088,1.3,2.7,4214,1338,1.00
"y_rep[294]",1.4,0.012,0.79,0.070,1.4,2.7,4010,1273,1.00
"y_rep[295]",1.4,0.013,0.78,0.086,1.4,2.7,3835,1218,1.0
"y_rep[296]",1.4,0.012,0.77,0.081,1.4,2.6,3835,1218,1.00
"y_rep[297]",1.4,0.012,0.77,0.084,1.4,2.6,3842,1220,1.0
"y_rep[298]",1.4,0.013,0.77,0.074,1.4,2.6,3468,1101,1.00
"y_rep[299]",1.4,0.013,0.80,0.032,1.4,2.7,3657,1161,1.00
"y_rep[300]",1.4,0.012,0.77,0.079,1.4,2.6,3856,1224,1.0
"y_rep[301]",1.4,0.013,0.79,0.086,1.4,2.7,3712,1178,1.0
"y_rep[302]",0.66,0.013,0.78,-0.58,0.66,2.0,3480,1105,1.0
"y_rep[303]",1.3,0.012,0.76,0.075,1.3,2.6,4098,1301,1.0
"y_rep[304]",1.3,0.012,0.77,0.073,1.4,2.6,3909,1241,1.0
"y_rep[305]",1.3,0.013,0.79,0.062,1.3,2.6,3795,1205,1.00
"y_rep[306]",1.3,0.012,0.77,0.10,1.4,2.6,3900,1238,1.0
"y_rep[307]",1.4,0.013,0.78,0.090,1.4,2.6,3643,1157,1.00
"y_rep[308]",1.3,0.012,0.76,0.093,1.3,2.6,4031,1280,1.00
"y_rep[309]",1.3,0.013,0.78,0.074,1.3,2.6,3640,1155,1.0
"y_rep[310]",1.4,0.013,0.77,0.050,1.4,2.6,3725,1182,1.0
"y_rep[311]",1.4,0.013,0.78,0.087,1.4,2.6,3720,1181,1.00
"y_rep[312]",0.66,0.012,0.77,-0.59,0.65,1.9,3945,1252,1.0
"y_rep[313]",1.4,0.012,0.78,0.076,1.4,2.6,4097,1300,1.0
"y_rep[314]",0.70,0.012,0.78,-0.59,0.72,2.0,4067,1291,1.0
"y_rep[315]",1.4,0.013,0.78,0.079,1.4,2.6,3367,1069,1.0
"y_rep[316]",1.4,0.012,0.77,0.091,1.3,2.6,3886,1234,1.0
"y_rep[317]",1.4,0.012,0.78,0.076,1.4,2.7,4243,1347,1.00
"y_rep[318]",1.4,0.012,0.77,0.087,1.4,2.6,4001,1270,1.00
"y_rep[319]",1.4,0.012,0.78,0.10,1.4,2.7,3967,1259,1.00
"y_rep[320]",1.4,0.012,0.78,0.096,1.4,2.6,4004,1271,1.0
"y_rep[321]",1.4,0.012,0.77,0.12,1.4,2.6,3839,1219,1.00
"y_rep[322]",1.4,0.013,0.78,0.081,1.4,2.7,3735,1186,1.00
"y_rep[323]",1.4,0.012,0.79,0.079,1.3,2.7,4007,1272,1.0
"y_rep[324]",1.4,0.013,0.78,0.083,1.3,2.6,3683,1169,1.0
"y_rep[325]",1.3,0.012,0.79,0.029,1.3,2.6,4048,1285,1.0
"y_rep[326]",1.3,0.012,0.77,0.093,1.3,2.6,4142,1315,1.0
"y_rep[327]",1.4,0.012,0.77,0.079,1.3,2.6,3847,1221,1.00
"y_rep[328]",1.3,0.012,0.79,0.042,1.3,2.7,4147,1316,1.00
"y_rep[329]",0.67,0.013,0.76,-0.60,0.68,1.9,3463,1099,1.0
"y_rep[330]",1.4,0.012,0.79,0.057,1.4,2.6,4111,1305,1.0
"y_rep[331]",1.3,0.012,0.76,0.13,1.3,2.6,3848,1222,1.0
"y_rep[332]",1.4,0.012,0.77,0.057,1.4,2.6,4016,1275,1.0
"y_rep[333]",1.4,0.012,0.79,0.072,1.4,2.6,3947,1253,1.0
"y_rep[334]",1.4,0.012,0.76,0.092,1.4,2.6,3756,1192,1.0
"y_rep[335]",1.4,0.013,0.77,0.096,1.4,2.6,3768,1196,1.00
"y_rep[336]",1.4,0.012,0.79,0.040,1.4,2.6,4105,1303,1.0
"y_rep[337]",1.4,0.013,0.78,0.055,1.4,2.6,3813,1211,1.0
"y_rep[338]",1.3,0.012,0.78,0.077,1.3,2.6,4290,1362,1.0
"y_rep[339]",1.3,0.013,0.77,0.077,1.3,2.6,3690,1171,1.0
"y_rep[340]",1.4,0.012,0.76,0.11,1.4,2.6,3904,1239,1.00
"y_rep[341]",1.4,0.013,0.79,0.064,1.4,2.6,3717,1180,1.00
"y_rep[342]",1.3,0.012,0.78,0.035,1.3,2.6,4119,1308,1.00
"y_rep[343]",1.4,0.012,0.78,0.10,1.4,2.7,4165,1322,1.00
"y_rep[344]",1.4,0.013,0.78,0.059,1.4,2.7,3581,1137,1.0
"y_rep[345]",0.69,0.013,0.79,-0.63,0.71,2.0,3894,1236,1.00
"y_rep[346]",1.3,0.012,0.78,0.029,1.4,2.6,3989,1266,1.00
"y_rep[347]",1.4,0.012,0.77,0.088,1.4,2.6,4018,1276,1.0
"y_rep[348]",1.4,0.013,0.78,0.087,1.4,2.6,3867,1228,1.0
"y_rep[349]",1.4,0.013,0.76,0.14,1.4,2.6,3725,1182,1.0
"y_rep[350]",1.4,0.013,0.78,0.10,1.4,2.6,3607,1145,1.00
"y_rep[351]",0.70,0.012,0.78,-0.56,0.70,2.0,4132,1312,1.00
"y_rep[352]",1.3,0.014,0.77,0.070,1.3,2.6,3082,978,1.0
"y_rep[353]",1.4,0.013,0.78,0.080,1.3,2.6,3807,1208,1.0
"y_rep[354]",1.4,0.012,0.77,0.12,1.4,2.6,4154,1319,1.0
"y_rep[355]",0.66,0.013,0.77,-0.62,0.67,1.9,3773,1198,1.00
"y_rep[356]",1.4,0.012,0.79,0.062,1.4,2.6,4302,1366,1.00
"y_rep[357]",1.3,0.012,0.78,0.088,1.3,2.6,3980,1264,1.0
"y_rep[358]",1.3,0.012,0.77,0.091,1.3,2.6,3980,1263,1.00
"y_rep[359]",1.3,0.012,0.77,0.070,1.3,2.6,4215,1338,1.0
"y_rep[360]",1.4,0.012,0.78,0.097,1.4,2.7,4091,1299,1.0
"y_rep[361]",1.4,0.012,0.76,0.095,1.4,2.6,3839,1219,1.00
"y_rep[362]",1.3,0.013,0.78,0.047,1.3,2.6,3827,1215,1.0
"y_rep[363]",1.3,0.012,0.79,0.055,1.4,2.6,4021,1277,1.00
"y_rep[364]",1.3,0.012,0.79,0.024,1.4,2.6,4043,1284,1.0
"y_rep[365]",1.4,0.013,0.78,0.084,1.4,2.7,3851,1222,1.00
"y_rep[366]",1.4,0.012,0.79,0.072,1.4,2.6,4008,1272,1.0
"y_rep[367]",1.4,0.013,0.78,0.096,1.3,2.6,3883,1233,1.0
"y_rep[368]",1.4,0.012,0.77,0.082,1.4,2.6,3980,1263,1.0
"y_rep[369]",0.68,0.013,0.78,-0.59,0.68,2.0,3861,1226,1.00
"y_rep[370]",1.5,0.052,0.79,0.25,1.5,2.9,230,73,1.0
"y_rep[371]",1.5,0.052,0.81,0.20,1.5,2.9,241,77,1.0
"y_rep[372]",1.5,0.028,0.82,0.21,1.5,2.9,854,271,1.0
"y_rep[373]",0.88,0.014,0.80,-0.44,0.88,2.2,3300,1048,1.0
"y_rep[374]",1.6,0.077,0.81,0.21,1.6,2.9,110,35,1.0
"y_rep[375]",0.86,0.016,0.81,-0.46,0.85,2.2,2682,851,1.0
"y_rep[376]",0.67,0.012,0.81,-0.67,0.67,2.0,4326,1373,1.0
"y_rep[377]",0.66,0.012,0.80,-0.64,0.66,2.0,4290,1362,1.0
"y_rep[378]",1.3,0.012,0.81,0.050,1.3,2.7,4262,1353,1.00
"y_rep[379]",1.4,0.013,0.81,0.018,1.4,2.7,4142,1315,1.0
"y_rep[380]",0.66,0.012,0.81,-0.67,0.67,2.0,4405,1398,1.00
"y_rep[381]",1.3,0.013,0.80,-0.000048,1.3,2.6,3685,1170,1.00
"y_rep[382]",1.3,0.012,0.81,-0.013,1.3,2.6,4343,1379,1.00
"y_rep[383]",1.3,0.012,0.81,-0.017,1.3,2.6,4340,1378,1.00
"y_rep[384]",1.2,0.014,0.80,-0.14,1.2,2.5,3276,1040,1.0
"y_rep[385]",1.2,0.013,0.80,-0.14,1.2,2.5,3955,1256,1.0
"y_rep[386]",1.2,0.016,0.80,-0.15,1.2,2.4,2664,846,1.0
"y_rep[387]",1.2,0.021,0.81,-0.19,1.1,2.5,1541,489,1.0
"y_rep[388]",1.2,0.013,0.80,-0.14,1.2,2.5,3836,1218,1.0
"y_rep[389]",1.1,0.015,0.81,-0.21,1.2,2.5,2926,929,1.0
"y_rep[390]",1.2,0.026,0.79,-0.12,1.1,2.5,898,285,1.0
"y_rep[391]",1.2,0.018,0.81,-0.15,1.2,2.5,2083,661,1.0
"y_rep[392]",1.1,0.014,0.80,-0.14,1.2,2.4,3302,1048,1.0
"y_rep[393]",1.2,0.028,0.79,-0.14,1.2,2.5,775,246,1.0
"y_rep[394]",1.2,0.017,0.80,-0.17,1.1,2.5,2286,726,1.0
"y_rep[395]",1.6,0.14,0.83,0.26,1.6,3.0,38,12,1.0
"y_rep[396]",1.6,0.14,0.82,0.26,1.6,3.0,36,11,1.0
"y_rep[397]",1.6,0.12,0.83,0.24,1.6,3.0,48,15,1.0
"y_rep[398]",1.6,0.11,0.81,0.30,1.6,3.0,60,19,1.0
"y_rep[399]",1.6,0.11,0.82,0.34,1.6,3.0,53,17,1.0
"y_rep[400]",1.4,0.012,0.79,0.050,1.3,2.7,4170,1324,1.00
"y_rep[401]",1.4,0.012,0.80,0.061,1.4,2.7,4103,1303,1.0
"y_rep[402]",1.4,0.013,0.82,0.000027,1.4,2.7,3858,1225,1.0
"y_rep[403]",1.4,0.012,0.79,0.045,1.4,2.7,4297,1364,1.0
"y_rep[404]",1.6,0.087,0.82,0.28,1.6,3.0,90,29,1.0
"y_rep[405]",1.6,0.11,0.82,0.29,1.7,2.9,56,18,1.0
"y_rep[406]",1.6,0.11,0.82,0.24,1.6,2.9,52,17,1.0
"y_rep[407]",1.6,0.11,0.82,0.28,1.6,3.0,55,17,1.0
"y_rep[408]",1.5,0.017,0.81,0.13,1.5,2.8,2359,749,1.0
"y_rep[409]",0.79,0.012,0.80,-0.54,0.78,2.1,4419,1403,1.0
"y_rep[410]",0.78,0.013,0.80,-0.54,0.77,2.1,3815,1211,1.0
"y_rep[411]",1.2,0.015,0.80,-0.16,1.1,2.5,2786,884,1.0
"y_rep[412]",1.2,0.013,0.79,-0.14,1.2,2.5,4003,1271,1.0
"y_rep[413]",0.47,0.058,0.82,-0.88,0.47,1.8,200,63,1.0
"y_rep[414]",0.47,0.078,0.79,-0.79,0.48,1.8,101,32,1.0
"y_rep[415]",1.2,0.014,0.80,-0.14,1.1,2.5,3465,1100,1.0
"y_rep[416]",0.47,0.037,0.81,-0.85,0.47,1.8,467,148,1.0
"y_rep[417]",0.46,0.044,0.80,-0.84,0.45,1.8,339,108,1.0
"y_rep[418]",1.1,0.13,0.84,-0.33,1.1,2.5,44,14,1.0
"y_rep[419]",1.8,0.17,0.84,0.36,1.8,3.1,25,7.9,1.0
"y_rep[420]",0.24,0.19,0.86,-1.2,0.23,1.7,21,6.5,1.1
"y_rep[421]",0.92,0.16,0.83,-0.45,0.91,2.3,26,8.2,1.0
"y_rep[422]",0.91,0.18,0.82,-0.41,0.90,2.3,21,6.5,1.1
"y_rep[423]",0.92,0.16,0.83,-0.40,0.91,2.3,27,8.4,1.0
"y_rep[424]",0.92,0.17,0.82,-0.39,0.90,2.3,23,7.4,1.1
"y_rep[425]",0.93,0.18,0.84,-0.45,0.91,2.4,23,7.2,1.1
"y_rep[426]",0.93,0.18,0.84,-0.44,0.92,2.3,22,7.0,1.1
"y_rep[427]",0.93,0.15,0.84,-0.44,0.92,2.3,32,10,1.0
"y_rep[428]",0.92,0.14,0.81,-0.42,0.90,2.3,35,11,1.0
"y_rep[429]",1.6,0.044,0.83,0.20,1.6,2.9,354,113,1.0
"y_rep[430]",0.90,0.015,0.82,-0.45,0.91,2.2,3131,994,1.0
"y_rep[431]",1.5,0.041,0.82,0.18,1.6,2.9,399,127,1.0
"y_rep[432]",0.88,0.014,0.81,-0.44,0.87,2.2,3105,986,1.0
"y_rep[433]",1.5,0.068,0.81,0.22,1.5,2.9,145,46,1.0
"y_rep[434]",0.85,0.015,0.80,-0.47,0.85,2.2,2781,883,1.0
"y_rep[435]",1.5,0.041,0.80,0.19,1.5,2.9,376,119,1.0
"y_rep[436]",1.5,0.021,0.82,0.21,1.5,2.9,1542,490,1.0
"y_rep[437]",1.5,0.038,0.81,0.18,1.5,2.9,451,143,1.0
"y_rep[438]",1.7,0.14,0.83,0.33,1.7,3.1,33,11,1.0
"y_rep[439]",1.7,0.14,0.83,0.38,1.7,3.1,35,11,1.0
"y_rep[440]",1.7,0.15,0.83,0.35,1.7,3.1,32,10,1.0
"y_rep[441]",1.0,0.10,0.82,-0.32,1.0,2.4,64,20,1.0
"y_rep[442]",1.7,0.13,0.81,0.33,1.7,3.0,39,12,1.0
"y_rep[443]",0.96,0.10,0.81,-0.42,0.96,2.3,66,21,1.0
"y_rep[444]",1.6,0.11,0.80,0.32,1.7,2.9,56,18,1.0
"y_rep[445]",1.7,0.11,0.82,0.28,1.7,3.0,58,18,1.0
"y_rep[446]",1.7,0.12,0.82,0.29,1.7,3.0,48,15,1.0
"y_rep[447]",1.7,0.11,0.81,0.31,1.7,3.0,59,19,1.0
"y_rep[448]",1.7,0.099,0.83,0.28,1.7,3.0,69,22,1.0
"y_rep[449]",1.7,0.10,0.81,0.30,1.7,3.0,65,21,1.0
"y_rep[450]",1.4,0.014,0.83,0.059,1.4,2.8,3494,1109,1.0
"y_rep[451]",0.82,0.013,0.81,-0.54,0.83,2.1,3856,1224,1.0
"y_rep[452]",1.5,0.016,0.79,0.20,1.5,2.8,2350,746,1.0
"y_rep[453]",0.83,0.012,0.80,-0.50,0.82,2.1,4239,1346,1.0
"y_rep[454]",0.81,0.013,0.81,-0.51,0.81,2.1,3980,1263,1.0
"y_rep[455]",0.79,0.013,0.81,-0.56,0.80,2.1,3980,1264,1.0
"y_rep[456]",1.5,0.014,0.81,0.17,1.5,2.8,3443,1093,1.0
"y_rep[457]",1.5,0.020,0.81,0.13,1.5,2.8,1727,548,1.0
"y_rep[458]",0.81,0.012,0.79,-0.47,0.81,2.1,4035,1281,1.0
"y_rep[459]",1.5,0.013,0.80,0.20,1.5,2.8,3738,1187,1.0
"y_rep[460]",1.2,0.013,0.80,-0.11,1.2,2.6,4039,1282,1.0
"y_rep[461]",0.57,0.015,0.80,-0.74,0.56,1.9,2773,880,1.0
"y_rep[462]",1.2,0.012,0.80,-0.046,1.2,2.6,4182,1327,1.0
"y_rep[463]",1.2,0.013,0.78,-0.070,1.3,2.5,3724,1182,1.0
"y_rep[464]",1.3,0.013,0.81,-0.070,1.2,2.6,3821,1213,1.0
"y_rep[465]",1.2,0.012,0.79,-0.037,1.2,2.6,4186,1329,1.0
"y_rep[466]",1.2,0.012,0.77,-0.0080,1.2,2.5,3843,1220,1.0
"y_rep[467]",1.3,0.012,0.80,0.0013,1.4,2.6,4092,1299,1.0
"y_rep[468]",1.3,0.012,0.78,0.059,1.3,2.6,4219,1339,1.00
"y_rep[469]",1.4,0.013,0.80,0.050,1.3,2.7,4081,1295,1.0
"y_rep[470]",1.3,0.013,0.79,0.033,1.3,2.6,3772,1198,1.0
"y_rep[471]",1.3,0.012,0.78,0.023,1.3,2.6,4201,1334,1.00
"y_rep[472]",1.3,0.012,0.80,0.054,1.3,2.7,4193,1331,1.00
"y_rep[473]",1.4,0.012,0.78,0.058,1.4,2.6,3964,1258,1.00
"y_rep[474]",0.66,0.012,0.79,-0.65,0.66,1.9,4178,1326,1.0
"y_rep[475]",1.3,0.012,0.78,0.066,1.3,2.6,4076,1294,1.0
"y_rep[476]",0.67,0.013,0.80,-0.63,0.68,2.0,3963,1258,1.0
"y_rep[477]",0.66,0.013,0.79,-0.66,0.67,2.0,3942,1251,1.0
"y_rep[478]",0.66,0.013,0.80,-0.64,0.67,2.0,3944,1252,1.0
"y_rep[479]",1.3,0.012,0.79,0.037,1.4,2.6,4314,1370,1.00
"y_rep[480]",1.3,0.012,0.79,0.017,1.3,2.6,4188,1330,1.00
"y_rep[481]",1.3,0.012,0.80,0.021,1.3,2.6,4139,1314,1.0
"y_rep[482]",1.3,0.012,0.80,0.00042,1.3,2.7,4147,1316,1.00
"y_rep[483]",1.3,0.012,0.80,0.0012,1.3,2.6,4176,1326,1.00
"y_rep[484]",1.3,0.013,0.81,-0.0045,1.3,2.7,3909,1241,1.0
"y_rep[485]",0.64,0.013,0.82,-0.69,0.62,2.0,3818,1212,1.0
"y_rep[486]",1.3,0.012,0.83,-0.000031,1.3,2.7,4400,1397,1.00
"y_rep[487]",1.3,0.013,0.79,-0.0081,1.3,2.6,3884,1233,1.0
"y_rep[488]",1.3,0.012,0.80,-0.060,1.3,2.6,4148,1317,1.0
"y_rep[489]",1.3,0.012,0.78,0.0047,1.3,2.5,4047,1285,1.0
"y_rep[490]",1.3,0.012,0.79,-0.0052,1.3,2.6,4077,1294,1.0
"y_rep[491]",1.3,0.012,0.80,-0.011,1.3,2.6,4089,1298,1.0
"y_rep[492]",0.59,0.013,0.81,-0.71,0.58,1.9,3930,1248,1.0
"y_rep[493]",1.3,0.013,0.81,-0.080,1.3,2.6,3889,1235,1.0
"y_rep[494]",1.3,0.012,0.80,-0.048,1.3,2.6,4164,1322,1.0
"y_rep[495]",1.3,0.013,0.79,-0.023,1.3,2.6,3739,1187,1.0
"y_rep[496]",1.6,0.031,0.79,0.24,1.6,2.9,650,206,1.0
"y_rep[497]",1.6,0.052,0.80,0.23,1.6,2.9,230,73,1.0
"y_rep[498]",1.6,0.058,0.80,0.24,1.6,2.8,189,60,1.0
"y_rep[499]",1.6,0.049,0.80,0.26,1.6,2.9,263,84,1.0
"y_rep[500]",1.6,0.048,0.82,0.23,1.6,2.9,290,92,1.0
"y_rep[501]",1.6,0.019,0.79,0.26,1.6,2.8,1715,545,1.0
"y_rep[502]",1.6,0.062,0.79,0.26,1.6,2.9,166,53,1.0
"y_rep[503]",0.91,0.015,0.80,-0.45,0.91,2.2,2650,841,1.0
"y_rep[504]",1.6,0.049,0.81,0.23,1.6,2.9,276,88,1.0
"y_rep[505]",0.88,0.014,0.79,-0.44,0.89,2.2,3348,1063,1.0
"y_rep[506]",1.6,0.056,0.80,0.22,1.6,2.9,205,65,1.0
"y_rep[507]",1.6,0.089,0.80,0.23,1.6,2.8,81,26,1.0
"y_rep[508]",1.6,0.085,0.80,0.24,1.5,2.9,89,28,1.0
"y_rep[509]",1.6,0.045,0.84,0.18,1.6,2.9,360,114,1.0
"y_rep[510]",1.7,0.13,0.82,0.31,1.7,3.0,38,12,1.0
"y_rep[511]",1.7,0.14,0.85,0.28,1.7,3.1,35,11,1.0
"y_rep[512]",1.7,0.13,0.83,0.32,1.7,3.1,44,14,1.0
"y_rep[513]",1.7,0.14,0.84,0.28,1.7,3.0,38,12,1.0
"y_rep[514]",1.6,0.024,0.83,0.18,1.6,2.9,1195,379,1.0
"y_rep[515]",1.6,0.10,0.81,0.22,1.6,2.9,63,20,1.0
"y_rep[516]",1.6,0.071,0.81,0.24,1.6,2.9,131,41,1.0
"y_rep[517]",1.4,0.013,0.80,0.052,1.3,2.7,3951,1254,1.0
"y_rep[518]",1.4,0.013,0.81,0.014,1.4,2.7,3729,1184,1.0
"y_rep[519]",0.70,0.013,0.82,-0.68,0.71,2.0,3835,1217,1.0
"y_rep[520]",1.3,0.013,0.79,-0.00010,1.3,2.6,3893,1236,1.00
"y_rep[521]",1.3,0.012,0.80,0.041,1.3,2.7,4239,1346,1.00
"y_rep[522]",1.3,0.012,0.79,0.0016,1.3,2.7,4017,1275,1.00
"y_rep[523]",1.3,0.013,0.78,0.0088,1.3,2.6,3679,1168,1.0
"y_rep[524]",1.3,0.012,0.78,0.051,1.3,2.6,3943,1252,1.00
"y_rep[525]",1.3,0.012,0.78,0.021,1.3,2.6,4179,1327,1.00
"y_rep[526]",1.3,0.012,0.76,0.075,1.3,2.6,3775,1198,1.00
"y_rep[527]",1.3,0.013,0.80,0.018,1.3,2.6,4001,1270,1.0
"y_rep[528]",1.3,0.013,0.80,-0.024,1.3,2.6,3996,1269,1.00
"y_rep[529]",1.3,0.012,0.78,0.0064,1.3,2.6,4272,1356,1.0
"y_rep[530]",1.3,0.013,0.79,0.016,1.3,2.6,3660,1162,1.00
"y_rep[531]",1.3,0.012,0.78,0.068,1.3,2.6,3963,1258,1.0
"y_rep[532]",0.66,0.012,0.80,-0.62,0.66,2.0,4135,1313,1.00
"y_rep[533]",1.3,0.012,0.78,0.031,1.3,2.6,4243,1347,1.00
"y_rep[534]",1.3,0.013,0.79,0.027,1.3,2.6,3959,1257,1.00
"y_rep[535]",1.4,0.012,0.79,0.065,1.4,2.6,4063,1290,1.00
"y_rep[536]",1.4,0.013,0.79,0.057,1.4,2.6,3810,1210,1.0
"y_rep[537]",1.3,0.013,0.78,-0.015,1.3,2.6,3851,1223,1.00
"y_rep[538]",1.3,0.012,0.77,0.056,1.3,2.6,3948,1253,1.00
"y_rep[539]",0.66,0.012,0.80,-0.65,0.66,2.0,4125,1309,1.0
"y_rep[540]",1.3,0.013,0.78,0.044,1.3,2.6,3814,1211,1.00
"y_rep[541]",1.3,0.012,0.77,0.073,1.3,2.6,4114,1306,1.00
"y_rep[542]",0.67,0.012,0.78,-0.63,0.68,1.9,4109,1305,1.0
"y_rep[543]",1.5,0.017,0.80,0.12,1.5,2.7,2215,703,1.0
"y_rep[544]",0.80,0.013,0.79,-0.49,0.81,2.1,3998,1269,1.0
"y_rep[545]",0.83,0.013,0.78,-0.45,0.83,2.1,3471,1102,1.0
"y_rep[546]",1.5,0.013,0.82,0.14,1.5,2.8,3757,1193,1.0
"y_rep[547]",0.82,0.013,0.81,-0.51,0.84,2.1,4002,1270,1.0
"y_rep[548]",1.5,0.020,0.80,0.17,1.5,2.8,1554,493,1.0
"y_rep[549]",1.5,0.024,0.80,0.14,1.5,2.8,1144,363,1.0
"y_rep[550]",1.5,0.031,0.81,0.16,1.5,2.8,685,218,1.0
"y_rep[551]",0.64,0.013,0.81,-0.70,0.64,2.0,3981,1264,1.0
"y_rep[552]",1.3,0.013,0.80,0.0041,1.3,2.6,4088,1298,1.00
