name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"y_rep[227]",0.84,0.012,0.74,-0.39,0.85,2.1,4081,3075,1.00
"y_rep[228]",0.86,0.012,0.75,-0.39,0.85,2.1,4191,3158,1.00
"y_rep[229]",0.85,0.011,0.72,-0.33,0.85,2.0,4147,3125,1.0
"y_rep[230]",0.83,0.012,0.75,-0.42,0.83,2.0,4155,3131,1.00
"y_rep[231]",0.84,0.012,0.74,-0.38,0.84,2.0,4118,3103,1.00
"y_rep[232]",0.87,0.012,0.75,-0.37,0.86,2.1,4185,3154,1.00
"y_rep[233]",1.9,0.011,0.74,0.64,1.9,3.1,4304,3243,1.0
"y_rep[234]",1.9,0.012,0.75,0.63,1.9,3.1,3931,2962,1.00
"y_rep[235]",1.9,0.011,0.74,0.66,1.9,3.1,4180,3150,1.00
"y_rep[236]",1.9,0.012,0.75,0.64,1.9,3.1,3922,2955,1.00
"y_rep[237]",1.9,0.011,0.73,0.66,1.9,3.1,4439,3345,1.00
"y_rep[238]",1.9,0.012,0.75,0.64,1.9,3.1,4098,3088,1.00
"y_rep[239]",1.9,0.012,0.73,0.66,1.9,3.1,3777,2847,1.00
"y_rep[240]",1.9,0.013,0.75,0.64,1.9,3.1,3477,2620,1.00
"y_rep[241]",1.9,0.012,0.74,0.67,1.9,3.1,4110,3098,1.0
"y_rep[242]",1.9,0.011,0.73,0.64,1.9,3.1,4229,3187,1.00
"y_rep[243]",0.92,0.012,0.74,-0.33,0.93,2.1,4052,3054,1.0
"y_rep[244]",0.93,0.011,0.74,-0.30,0.92,2.2,4202,3166,1.00
"y_rep[245]",0.92,0.011,0.73,-0.29,0.94,2.1,4114,3100,1.00
"y_rep[246]",0.95,0.012,0.75,-0.28,0.96,2.2,3952,2978,1.0
"y_rep[247]",0.94,0.012,0.74,-0.27,0.93,2.2,4117,3102,1.0
"y_rep[248]",0.92,0.012,0.75,-0.33,0.92,2.1,3886,2928,1.00
"y_rep[249]",0.92,0.011,0.72,-0.26,0.92,2.1,4088,3081,1.0
"y_rep[250]",0.94,0.011,0.73,-0.25,0.93,2.1,4223,3182,1.0
"y_rep[251]",0.94,0.012,0.74,-0.28,0.93,2.2,4121,3106,1.00
"y_rep[252]",0.91,0.012,0.75,-0.32,0.90,2.2,4159,3134,1.00
"y_rep[253]",0.94,0.012,0.72,-0.22,0.94,2.1,3866,2913,1.0
"y_rep[254]",0.95,0.011,0.73,-0.26,0.94,2.2,4226,3185,1.00
"y_rep[255]",0.94,0.012,0.75,-0.26,0.93,2.2,3775,2845,1.00
"y_rep[256]",0.93,0.012,0.75,-0.32,0.93,2.2,4071,3068,1.00
"y_rep[257]",0.93,0.012,0.75,-0.30,0.92,2.1,3948,2975,1.0
"y_rep[258]",0.93,0.012,0.74,-0.27,0.93,2.1,3926,2958,1.00
"y_rep[259]",0.94,0.012,0.74,-0.29,0.94,2.2,3629,2735,1.00
"y_rep[260]",0.94,0.012,0.74,-0.27,0.93,2.2,4019,3029,1.0
"y_rep[261]",0.97,0.011,0.75,-0.27,0.96,2.2,4224,3183,1.00
"y_rep[262]",0.94,0.012,0.75,-0.29,0.93,2.2,4073,3069,1.0
"y_rep[263]",1.6,0.011,0.71,0.45,1.6,2.8,3972,2993,1.0
"y_rep[264]",1.6,0.012,0.74,0.44,1.6,2.9,4009,3021,1.00
"y_rep[265]",1.6,0.011,0.74,0.40,1.6,2.9,4298,3239,1.0
"y_rep[266]",1.7,0.012,0.74,0.42,1.7,2.9,4065,3063,1.00
"y_rep[267]",1.6,0.011,0.73,0.46,1.7,2.8,4168,3141,1.0
"y_rep[268]",1.6,0.011,0.73,0.42,1.6,2.8,4109,3096,1.0
"y_rep[269]",1.6,0.011,0.74,0.43,1.6,2.9,4188,3156,1.0
"y_rep[270]",1.7,0.011,0.74,0.45,1.7,2.8,4223,3182,1.00
"y_rep[271]",1.6,0.011,0.73,0.44,1.6,2.8,4118,3104,1.0
"y_rep[272]",1.6,0.011,0.73,0.41,1.6,2.8,4229,3187,1.00
"y_rep[273]",1.7,0.011,0.73,0.46,1.7,2.9,4089,3081,1.00
"y_rep[274]",1.7,0.011,0.73,0.47,1.7,2.9,4144,3123,1.00
"y_rep[275]",1.9,0.012,0.74,0.69,2.0,3.1,4165,3139,1.00
"y_rep[276]",1.9,0.011,0.74,0.72,2.0,3.2,4276,3223,1.00
"y_rep[277]",1.9,0.011,0.75,0.74,1.9,3.2,4416,3327,1.00
"y_rep[278]",1.9,0.011,0.74,0.72,1.9,3.2,4155,3131,1.00
"y_rep[279]",1.9,0.012,0.75,0.74,1.9,3.2,3759,2833,1.0
"y_rep[280]",1.9,0.011,0.72,0.73,1.9,3.1,4141,3121,1.0
"y_rep[281]",1.9,0.012,0.74,0.71,1.9,3.2,3966,2988,1.00
"y_rep[282]",2.0,0.011,0.74,0.74,2.0,3.2,4239,3194,1.00
"y_rep[283]",1.9,0.012,0.74,0.70,1.9,3.1,3542,2670,1.0
"y_rep[284]",1.9,0.012,0.74,0.67,1.9,3.1,4108,3096,1.00
"y_rep[285]",1.6,0.012,0.74,0.35,1.6,2.8,3801,2864,1.00
"y_rep[286]",1.6,0.012,0.74,0.33,1.6,2.8,3824,2882,1.0
"y_rep[287]",1.5,0.012,0.75,0.28,1.5,2.7,3958,2983,1.00
"y_rep[288]",1.5,0.011,0.73,0.34,1.5,2.8,4102,3091,1.0
"y_rep[289]",1.6,0.012,0.74,0.34,1.6,2.8,3956,2981,1.0
"y_rep[290]",1.5,0.012,0.75,0.31,1.5,2.8,4079,3074,1.00
"y_rep[291]",1.5,0.012,0.74,0.31,1.5,2.8,3971,2992,1.0
"y_rep[292]",1.6,0.012,0.75,0.32,1.6,2.8,4178,3148,1.0
"y_rep[293]",1.5,0.012,0.74,0.31,1.5,2.8,3843,2896,1.0
"y_rep[294]",1.9,0.011,0.75,0.63,1.9,3.0,4354,3281,1.00
"y_rep[295]",1.9,0.012,0.74,0.66,1.8,3.1,3874,2919,1.00
"y_rep[296]",1.8,0.012,0.74,0.64,1.8,3.0,4030,3037,1.00
"y_rep[297]",1.8,0.012,0.75,0.57,1.8,3.1,3787,2854,1.0
"y_rep[298]",1.8,0.012,0.73,0.65,1.8,3.0,4047,3049,1.0
"y_rep[299]",1.9,0.012,0.76,0.62,1.9,3.1,4291,3234,1.00
"y_rep[300]",1.9,0.012,0.75,0.64,1.8,3.1,3889,2931,1.0
"y_rep[301]",1.9,0.011,0.74,0.63,1.9,3.1,4206,3170,1.0
"y_rep[302]",1.9,0.012,0.73,0.67,1.9,3.1,4065,3063,1.0
"y_rep[303]",1.9,0.012,0.74,0.67,1.9,3.1,3821,2879,1.0
"y_rep[304]",1.9,0.012,0.74,0.63,1.9,3.1,4112,3099,1.00
"y_rep[305]",1.4,0.012,0.76,0.13,1.4,2.6,4270,3218,1.0
"y_rep[306]",1.4,0.012,0.75,0.17,1.4,2.6,3965,2988,1.0
"y_rep[307]",1.4,0.012,0.74,0.13,1.4,2.6,3879,2923,1.0
"y_rep[308]",1.4,0.012,0.75,0.19,1.4,2.6,4169,3142,1.00
"y_rep[309]",1.4,0.011,0.74,0.16,1.4,2.6,4246,3200,1.00
"y_rep[310]",1.4,0.012,0.74,0.19,1.4,2.6,3898,2938,1.00
"y_rep[311]",1.4,0.011,0.75,0.17,1.4,2.6,4367,3291,1.00
"y_rep[312]",1.4,0.011,0.74,0.16,1.4,2.6,4353,3280,1.00
"y_rep[313]",1.4,0.012,0.74,0.17,1.4,2.6,4076,3071,1.0
"y_rep[314]",1.6,0.012,0.75,0.37,1.6,2.8,3885,2928,1.00
"y_rep[315]",1.6,0.012,0.76,0.31,1.6,2.8,3774,2844,1.0
"y_rep[316]",1.6,0.012,0.76,0.35,1.6,2.9,4218,3179,1.00
"y_rep[317]",1.6,0.012,0.77,0.33,1.6,2.8,4235,3191,1.00
"y_rep[318]",1.6,0.012,0.77,0.37,1.6,2.9,4190,3157,1.00
"y_rep[319]",1.6,0.012,0.76,0.34,1.6,2.8,3910,2947,1.00
"y_rep[320]",1.8,0.012,0.73,0.59,1.8,3.0,3896,2936,1.0
"y_rep[321]",1.8,0.011,0.72,0.60,1.8,3.0,4034,3040,1.00
"y_rep[322]",1.8,0.011,0.73,0.61,1.8,3.0,4104,3093,1.0
"y_rep[323]",1.8,0.012,0.73,0.57,1.8,3.0,3583,2700,1.00
"y_rep[324]",1.8,0.011,0.73,0.57,1.8,3.0,4138,3118,1.00
"y_rep[325]",1.8,0.011,0.72,0.58,1.8,3.0,4034,3040,1.00
"y_rep[326]",1.8,0.012,0.74,0.62,1.8,3.0,3962,2985,1.00
"y_rep[327]",1.8,0.012,0.72,0.62,1.8,3.0,3792,2857,1.00
"y_rep[328]",1.8,0.012,0.72,0.59,1.8,2.9,3901,2940,1.0
"y_rep[329]",1.8,0.012,0.73,0.62,1.8,3.0,3777,2846,1.00
"y_rep[330]",1.8,0.011,0.73,0.63,1.8,3.0,4241,3196,1.0
"y_rep[331]",1.8,0.011,0.72,0.62,1.8,3.0,3966,2988,1.0
"y_rep[332]",2.1,0.011,0.72,0.91,2.1,3.3,4195,3162,1.0
"y_rep[333]",2.1,0.012,0.73,0.88,2.1,3.3,3952,2978,1.00
"y_rep[334]",2.1,0.012,0.75,0.88,2.1,3.3,4146,3124,1.0
"y_rep[335]",2.1,0.011,0.73,0.90,2.1,3.3,4224,3183,1.00
"y_rep[336]",2.1,0.011,0.74,0.88,2.1,3.3,4263,3213,1.00
"y_rep[337]",2.1,0.011,0.74,0.87,2.1,3.3,4322,3257,1.0
"y_rep[338]",2.1,0.012,0.75,0.87,2.1,3.3,4260,3211,1.0
"y_rep[339]",2.1,0.012,0.74,0.89,2.1,3.3,3878,2922,1.00
"y_rep[340]",2.1,0.011,0.73,0.92,2.1,3.3,4121,3105,1.0
"y_rep[341]",2.1,0.012,0.75,0.88,2.1,3.3,3940,2969,1.0
"y_rep[342]",1.8,0.012,0.74,0.63,1.8,3.0,3971,2992,1.0
"y_rep[343]",1.9,0.011,0.73,0.69,1.9,3.1,4030,3037,1.00
"y_rep[344]",1.9,0.012,0.74,0.65,1.9,3.1,3901,2940,1.0
"y_rep[345]",1.9,0.012,0.74,0.64,1.9,3.1,3882,2925,1.00
"y_rep[346]",1.9,0.011,0.73,0.66,1.9,3.1,4154,3130,1.00
"y_rep[347]",1.9,0.012,0.73,0.66,1.9,3.1,3853,2903,1.00
"y_rep[348]",1.9,0.012,0.74,0.67,1.9,3.1,3788,2855,1.00
"y_rep[349]",1.8,0.012,0.74,0.59,1.8,3.1,3972,2993,1.00
"y_rep[350]",1.9,0.013,0.74,0.63,1.9,3.1,3379,2546,1.0
"y_rep[351]",1.8,0.011,0.74,0.62,1.8,3.1,4368,3291,1.0
"y_rep[352]",1.9,0.012,0.73,0.66,1.9,3.1,3896,2936,1.0
"y_rep[353]",1.9,0.011,0.74,0.61,1.9,3.1,4264,3213,1.0
"y_rep[354]",1.4,0.012,0.74,0.14,1.4,2.6,4041,3045,1.0
"y_rep[355]",1.4,0.011,0.72,0.21,1.4,2.6,4132,3114,1.0
"y_rep[356]",1.4,0.011,0.73,0.17,1.4,2.6,4213,3175,1.00
"y_rep[357]",1.4,0.011,0.71,0.22,1.4,2.5,4065,3063,1.0
"y_rep[358]",1.4,0.012,0.72,0.18,1.4,2.6,3795,2860,1.0
"y_rep[359]",1.4,0.012,0.72,0.20,1.4,2.6,3742,2820,1.0
"y_rep[360]",1.4,0.012,0.73,0.18,1.4,2.6,3668,2764,1.0
"y_rep[361]",1.4,0.011,0.72,0.20,1.4,2.6,3926,2959,1.0
"y_rep[362]",1.4,0.011,0.72,0.21,1.4,2.6,4051,3053,1.0
"y_rep[363]",1.4,0.011,0.73,0.21,1.4,2.6,4120,3104,1.00
"y_rep[364]",1.4,0.012,0.72,0.18,1.4,2.6,3772,2842,1.00
"y_rep[365]",1.4,0.011,0.73,0.17,1.4,2.6,4124,3107,1.00
"y_rep[366]",1.4,0.011,0.72,0.18,1.4,2.6,4030,3037,1.00
"y_rep[367]",1.4,0.011,0.72,0.21,1.4,2.6,4026,3034,1.0
"y_rep[368]",1.4,0.011,0.71,0.20,1.4,2.6,4145,3124,1.0
"y_rep[369]",1.4,0.011,0.72,0.21,1.4,2.6,4257,3208,1.00
"y_rep[370]",1.4,0.011,0.72,0.19,1.4,2.5,4086,3079,1.00
"y_rep[371]",1.4,0.012,0.73,0.17,1.4,2.6,3630,2736,1.0
"y_rep[372]",1.4,0.012,0.73,0.17,1.4,2.6,3966,2989,1.0
"y_rep[373]",1.4,0.012,0.73,0.18,1.4,2.6,3839,2893,1.00
"y_rep[374]",1.6,0.011,0.72,0.37,1.5,2.8,4245,3199,1.0
"y_rep[375]",1.5,0.011,0.72,0.35,1.6,2.7,4327,3260,1.00
"y_rep[376]",1.5,0.012,0.73,0.35,1.5,2.7,3970,2992,1.0
"y_rep[377]",1.6,0.011,0.73,0.37,1.6,2.7,4016,3027,1.00
"y_rep[378]",1.5,0.011,0.72,0.36,1.5,2.7,4014,3025,1.0
"y_rep[379]",1.5,0.012,0.72,0.34,1.5,2.7,3905,2942,1.0
"y_rep[380]",1.5,0.012,0.72,0.36,1.5,2.7,3836,2890,1.00
"y_rep[381]",1.6,0.011,0.73,0.35,1.5,2.8,4436,3343,1.00
"y_rep[382]",1.5,0.012,0.72,0.34,1.5,2.7,3635,2739,1.00
"y_rep[383]",1.5,0.011,0.73,0.36,1.6,2.7,4297,3238,1.0
"y_rep[384]",1.5,0.011,0.72,0.35,1.5,2.7,4193,3160,1.0
"y_rep[385]",1.5,0.011,0.73,0.34,1.6,2.7,4155,3131,1.0
"y_rep[386]",1.5,0.012,0.73,0.31,1.5,2.8,3832,2888,1.0
"y_rep[387]",1.5,0.011,0.72,0.36,1.5,2.7,3959,2983,1.0
"y_rep[388]",1.5,0.011,0.73,0.34,1.5,2.7,4124,3108,1.00
"y_rep[389]",1.5,0.012,0.72,0.34,1.5,2.7,3837,2892,1.00
"y_rep[390]",1.5,0.011,0.71,0.33,1.5,2.7,3995,3011,1.00
"y_rep[391]",1.5,0.011,0.72,0.34,1.5,2.7,4207,3170,1.00
"y_rep[392]",1.5,0.011,0.72,0.35,1.5,2.7,4030,3037,1.00
"y_rep[393]",1.5,0.011,0.73,0.33,1.5,2.7,4079,3074,1.00
"y_rep[394]",1.6,0.012,0.73,0.36,1.6,2.7,4009,3021,1.00
"y_rep[395]",1.1,0.011,0.72,-0.14,1.1,2.2,4096,3087,1.00
"y_rep[396]",1.1,0.012,0.73,-0.099,1.1,2.3,4012,3023,1.0
"y_rep[397]",1.1,0.011,0.72,-0.062,1.1,2.3,4164,3138,1.0
"y_rep[398]",1.1,0.011,0.72,-0.14,1.1,2.3,3988,3005,1.00
"y_rep[399]",1.1,0.011,0.72,-0.14,1.1,2.2,3997,3012,1.00
"y_rep[400]",1.1,0.011,0.70,-0.060,1.1,2.2,3719,2803,1.0
"y_rep[401]",1.1,0.011,0.71,-0.11,1.1,2.2,4177,3148,1.00
"y_rep[402]",1.1,0.011,0.72,-0.10,1.1,2.2,4206,3170,1.00
"y_rep[403]",1.1,0.011,0.73,-0.15,1.1,2.3,4089,3082,1.00
"y_rep[404]",1.1,0.011,0.70,-0.064,1.1,2.2,3827,2884,1.00
"y_rep[405]",1.1,0.012,0.72,-0.13,1.1,2.3,3550,2675,1.00
"y_rep[406]",1.1,0.012,0.73,-0.094,1.1,2.3,3972,2993,1.00
"y_rep[407]",1.1,0.012,0.73,-0.11,1.1,2.3,3973,2994,1.00
"y_rep[408]",1.1,0.012,0.72,-0.10,1.1,2.2,3647,2748,1.0
"y_rep[409]",1.1,0.012,0.74,-0.17,1.0,2.3,3938,2968,1.00
"y_rep[410]",1.1,0.011,0.71,-0.10,1.1,2.2,4141,3120,1.00
"y_rep[411]",1.1,0.012,0.73,-0.13,1.1,2.3,4018,3028,1.00
"y_rep[412]",1.1,0.011,0.71,-0.13,1.1,2.2,4188,3156,1.00
"y_rep[413]",1.1,0.011,0.71,-0.090,1.1,2.3,4023,3031,1.0
"y_rep[414]",1.1,0.011,0.71,-0.092,1.1,2.2,4174,3146,1.0
"y_rep[415]",1.1,0.011,0.72,-0.11,1.1,2.2,3890,2931,1.0
"y_rep[416]",1.1,0.011,0.71,-0.084,1.1,2.2,3938,2968,1.00
"y_rep[417]",1.1,0.012,0.72,-0.14,1.1,2.2,3702,2790,1.0
"y_rep[418]",1.1,0.011,0.71,-0.091,1.1,2.2,4155,3131,1.00
"y_rep[419]",1.1,0.012,0.71,-0.073,1.1,2.2,3749,2825,1.0
"y_rep[420]",1.1,0.011,0.73,-0.14,1.1,2.2,4016,3027,1.00
"y_rep[421]",1.1,0.011,0.72,-0.100,1.1,2.3,4157,3132,1.0
"y_rep[422]",1.0,0.012,0.71,-0.12,1.0,2.2,3632,2737,1.0
"y_rep[423]",1.1,0.012,0.72,-0.088,1.1,2.3,3456,2604,1.0
"y_rep[424]",1.4,0.011,0.71,0.22,1.4,2.6,4074,3070,1.0
"y_rep[425]",1.3,0.011,0.71,0.17,1.3,2.5,4000,3014,1.00
"y_rep[426]",1.4,0.011,0.71,0.20,1.4,2.6,4003,3017,1.0
"y_rep[427]",1.4,0.011,0.71,0.24,1.4,2.6,4052,3054,1.00
"y_rep[428]",1.4,0.011,0.72,0.19,1.4,2.6,3938,2968,1.0
"y_rep[429]",1.4,0.011,0.71,0.20,1.4,2.5,3981,3000,1.0
"y_rep[430]",1.4,0.011,0.72,0.18,1.4,2.6,3933,2964,1.0
"y_rep[431]",1.4,0.011,0.71,0.21,1.4,2.6,3870,2916,1.0
"y_rep[432]",1.3,0.011,0.71,0.20,1.3,2.5,4104,3092,1.00
"y_rep[433]",1.4,0.011,0.71,0.20,1.4,2.5,4002,3016,1.0
"y_rep[434]",1.4,0.011,0.71,0.19,1.4,2.5,4012,3023,1.0
"y_rep[435]",1.4,0.012,0.71,0.20,1.4,2.5,3803,2866,1.0
"y_rep[436]",1.4,0.011,0.70,0.25,1.4,2.5,4185,3154,1.00
"y_rep[437]",1.4,0.011,0.72,0.16,1.3,2.5,4126,3110,1.00
"y_rep[438]",1.4,0.011,0.72,0.19,1.3,2.5,3910,2946,1.00
"y_rep[439]",1.3,0.011,0.71,0.18,1.3,2.5,3957,2982,1.0
"y_rep[440]",1.3,0.011,0.71,0.19,1.3,2.5,4088,3080,1.0
"y_rep[441]",1.3,0.012,0.72,0.16,1.3,2.5,3743,2821,1.0
"y_rep[442]",1.4,0.011,0.72,0.16,1.4,2.5,4089,3082,1.00
"y_rep[443]",1.4,0.011,0.72,0.22,1.3,2.6,4074,3070,1.00
"y_rep[444]",1.4,0.012,0.71,0.21,1.4,2.5,3666,2763,1.0
"y_rep[445]",1.4,0.011,0.71,0.23,1.4,2.6,4143,3122,1.00
"y_rep[446]",1.4,0.012,0.72,0.19,1.4,2.5,3607,2718,1.00
"y_rep[447]",1.4,0.011,0.72,0.21,1.4,2.5,4017,3027,1.0
"y_rep[448]",1.4,0.011,0.71,0.19,1.4,2.5,3990,3006,1.0
"y_rep[449]",1.4,0.011,0.70,0.22,1.4,2.5,4023,3032,1.0
"y_rep[450]",1.4,0.011,0.71,0.20,1.4,2.5,4072,3069,1.0
"y_rep[451]",1.4,0.011,0.70,0.18,1.4,2.5,3940,2969,1.00
"y_rep[452]",1.4,0.011,0.71,0.19,1.4,2.5,3971,2993,1.0
"y_rep[453]",1.4,0.012,0.72,0.19,1.4,2.6,3900,2939,1.0
"y_rep[454]",1.4,0.011,0.72,0.16,1.4,2.5,3952,2978,1.00
"y_rep[455]",1.4,0.011,0.72,0.20,1.3,2.6,4021,3030,1.00
"y_rep[456]",1.4,0.011,0.70,0.24,1.4,2.5,3871,2917,1.0
"y_rep[457]",1.3,0.011,0.70,0.18,1.3,2.5,4288,3231,1.00
"y_rep[458]",1.4,0.011,0.71,0.18,1.4,2.5,4138,3118,1.0
"y_rep[459]",1.4,0.011,0.71,0.22,1.4,2.5,3856,2906,1.00
"y_rep[460]",1.4,0.011,0.71,0.25,1.4,2.6,4285,3229,1.00
"y_rep[461]",1.4,0.011,0.71,0.22,1.4,2.5,3986,3004,1.00
"y_rep[462]",1.4,0.011,0.72,0.20,1.4,2.5,4001,3015,1.00
"y_rep[463]",1.4,0.011,0.71,0.20,1.4,2.5,3897,2936,1.00
"y_rep[464]",1.4,0.011,0.71,0.22,1.4,2.6,3833,2888,1.00
"y_rep[465]",0.92,0.012,0.72,-0.24,0.93,2.1,3617,2725,1.0
"y_rep[466]",0.89,0.011,0.71,-0.25,0.89,2.0,3925,2958,1.00
"y_rep[467]",0.92,0.011,0.70,-0.25,0.91,2.1,3858,2907,1.00
"y_rep[468]",0.91,0.011,0.71,-0.27,0.92,2.1,3918,2953,1.00
"y_rep[469]",0.90,0.011,0.72,-0.28,0.90,2.1,4229,3187,1.00
"y_rep[470]",0.88,0.011,0.71,-0.27,0.88,2.1,4152,3129,1.0
"y_rep[471]",0.89,0.011,0.72,-0.28,0.90,2.1,3969,2991,1.0
"y_rep[472]",0.90,0.012,0.70,-0.25,0.91,2.1,3643,2746,1.0
"y_rep[473]",0.91,0.011,0.72,-0.27,0.91,2.1,4063,3062,1.00
"y_rep[474]",0.92,0.011,0.72,-0.27,0.93,2.1,3935,2966,1.00
"y_rep[475]",0.90,0.011,0.70,-0.25,0.90,2.1,4164,3138,1.00
"y_rep[476]",0.90,0.011,0.70,-0.24,0.90,2.0,4182,3151,1.0
"y_rep[477]",0.89,0.012,0.72,-0.31,0.89,2.1,3800,2863,1.0
"y_rep[478]",0.90,0.012,0.70,-0.24,0.90,2.1,3577,2695,1.00
"y_rep[479]",0.91,0.011,0.71,-0.27,0.91,2.1,4161,3136,1.00
"y_rep[480]",0.90,0.011,0.71,-0.26,0.90,2.1,4218,3179,1.00
"y_rep[481]",0.92,0.012,0.74,-0.31,0.94,2.1,3816,2875,1.00
"y_rep[482]",0.91,0.011,0.70,-0.23,0.90,2.1,3836,2891,1.00
"y_rep[483]",0.92,0.012,0.70,-0.21,0.92,2.1,3621,2729,1.0
"y_rep[484]",0.90,0.011,0.71,-0.25,0.88,2.1,3838,2892,1.00
"y_rep[485]",0.92,0.011,0.70,-0.24,0.91,2.1,4037,3042,1.0
"y_rep[486]",0.89,0.011,0.72,-0.29,0.90,2.1,4097,3088,1.00
"y_rep[487]",0.90,0.011,0.70,-0.28,0.91,2.0,3791,2856,1.0
"y_rep[488]",0.90,0.011,0.72,-0.31,0.88,2.1,4085,3078,1.0
"y_rep[489]",0.88,0.012,0.72,-0.32,0.86,2.1,3911,2947,1.0
"y_rep[490]",0.89,0.011,0.71,-0.26,0.89,2.1,4073,3069,1.0
"y_rep[491]",0.90,0.011,0.70,-0.23,0.90,2.1,4006,3019,1.00
"y_rep[492]",0.90,0.011,0.71,-0.28,0.89,2.1,3809,2870,1.00
"y_rep[493]",0.90,0.011,0.71,-0.27,0.90,2.1,4030,3037,1.0
"y_rep[494]",0.90,0.011,0.71,-0.29,0.90,2.1,4114,3100,1.00
"y_rep[495]",0.89,0.011,0.71,-0.28,0.89,2.1,4150,3127,1.00
"y_rep[496]",0.89,0.011,0.70,-0.27,0.87,2.1,3869,2915,1.00
"y_rep[497]",0.89,0.011,0.71,-0.30,0.90,2.0,3950,2977,1.00
"y_rep[498]",0.91,0.011,0.71,-0.27,0.91,2.0,3989,3006,1.00
"y_rep[499]",0.92,0.011,0.71,-0.26,0.92,2.1,3901,2939,1.00
"y_rep[500]",0.92,0.011,0.72,-0.26,0.92,2.1,4114,3101,1.00
"y_rep[501]",0.91,0.011,0.71,-0.24,0.91,2.1,4254,3206,1.00
"y_rep[502]",0.90,0.011,0.71,-0.28,0.90,2.0,3949,2976,1.0
"y_rep[503]",0.90,0.011,0.72,-0.30,0.89,2.1,4160,3135,1.0
"y_rep[504]",0.89,0.012,0.71,-0.28,0.88,2.1,3228,2432,1.0
"y_rep[505]",0.92,0.012,0.72,-0.29,0.93,2.1,3876,2921,1.0
"y_rep[506]",0.88,0.012,0.72,-0.28,0.87,2.1,3782,2850,1.0
"y_rep[507]",0.88,0.011,0.70,-0.27,0.87,2.0,3947,2974,1.00
"y_rep[508]",0.92,0.011,0.72,-0.25,0.92,2.1,3999,3014,1.00
"y_rep[509]",0.88,0.011,0.70,-0.28,0.88,2.0,3816,2876,1.0
"y_rep[510]",0.89,0.011,0.71,-0.28,0.89,2.1,4060,3060,1.00
"y_rep[511]",0.89,0.011,0.71,-0.28,0.90,2.1,4085,3079,1.00
"y_rep[512]",0.90,0.011,0.71,-0.25,0.91,2.0,4020,3030,1.00
"y_rep[513]",0.94,0.011,0.71,-0.21,0.93,2.1,4086,3079,1.00
"y_rep[514]",1.3,0.012,0.71,0.18,1.3,2.5,3727,2808,1.00
"y_rep[515]",1.4,0.011,0.71,0.20,1.4,2.5,4078,3073,1.0
"y_rep[516]",1.3,0.012,0.72,0.14,1.3,2.5,3819,2878,1.0
"y_rep[517]",1.4,0.011,0.72,0.15,1.4,2.5,3924,2957,1.0
"y_rep[518]",1.4,0.011,0.71,0.18,1.4,2.5,4096,3086,1.0
"y_rep[519]",1.3,0.012,0.71,0.16,1.3,2.5,3786,2853,1.00
"y_rep[520]",1.3,0.011,0.70,0.21,1.3,2.5,3817,2876,1.00
"y_rep[521]",1.4,0.011,0.70,0.21,1.3,2.5,4099,3089,1.00
"y_rep[522]",1.3,0.012,0.72,0.16,1.3,2.5,3555,2679,1.0
"y_rep[523]",1.3,0.012,0.72,0.19,1.3,2.5,3793,2858,1.0
"y_rep[524]",1.4,0.012,0.71,0.18,1.4,2.5,3720,2803,1.0
"y_rep[525]",1.3,0.011,0.72,0.15,1.4,2.5,4091,3083,1.00
"y_rep[526]",1.4,0.012,0.71,0.18,1.4,2.5,3679,2773,1.00
"y_rep[527]",1.3,0.011,0.71,0.17,1.4,2.5,3889,2931,1.00
"y_rep[528]",1.4,0.011,0.71,0.19,1.4,2.5,4193,3160,1.00
"y_rep[529]",1.3,0.011,0.72,0.15,1.4,2.5,4008,3021,1.0
"y_rep[530]",1.3,0.011,0.70,0.20,1.4,2.5,4039,3044,1.00
"y_rep[531]",1.4,0.011,0.70,0.20,1.4,2.5,4291,3234,1.0
"y_rep[532]",1.4,0.012,0.72,0.18,1.3,2.5,3797,2861,1.0
"y_rep[533]",1.4,0.011,0.71,0.17,1.4,2.5,4056,3056,1.0
"y_rep[534]",1.4,0.012,0.73,0.18,1.3,2.5,3959,2983,1.00
"y_rep[535]",1.4,0.011,0.71,0.21,1.4,2.5,3878,2922,1.00
"y_rep[536]",1.4,0.011,0.71,0.21,1.3,2.5,4028,3036,1.0
"y_rep[537]",1.3,0.011,0.71,0.16,1.4,2.5,3971,2993,1.00
"y_rep[538]",1.4,0.011,0.71,0.20,1.3,2.5,3838,2892,1.00
"y_rep[539]",1.4,0.011,0.70,0.19,1.4,2.5,4146,3125,1.00
"y_rep[540]",1.4,0.011,0.72,0.14,1.4,2.5,4007,3019,1.00
"y_rep[541]",1.3,0.012,0.71,0.15,1.3,2.5,3694,2784,1.00
"y_rep[542]",1.3,0.011,0.70,0.18,1.3,2.5,3907,2944,1.0
"y_rep[543]",1.3,0.011,0.71,0.18,1.3,2.5,4206,3170,1.00
"y_rep[544]",1.3,0.011,0.72,0.12,1.4,2.5,4429,3337,1.0
"y_rep[545]",1.4,0.011,0.70,0.19,1.4,2.5,3967,2990,1.0
"y_rep[546]",1.4,0.011,0.70,0.21,1.4,2.5,4007,3019,1.00
"y_rep[547]",1.4,0.011,0.73,0.17,1.4,2.6,4327,3261,1.0
"y_rep[548]",1.4,0.012,0.73,0.18,1.4,2.6,3701,2789,1.00
